user_id,item_id,rating,timestamp,is_attack
1126,435,5,2020-09-27,0
1130,71,5,2020-01-21,0
1638,121,3,2020-08-02,0
330,458,5,2020-04-09,0
871,151,3,2020-05-29,0
1332,257,4,2020-10-20,0
385,191,4,2020-10-03,0
1184,459,2,2020-01-22,0
252,235,1,2020-02-18,0
474,58,2,2020-07-06,0
975,270,3,2020-12-29,0
1590,243,1,2020-05-10,0
1508,306,5,2020-11-24,0
166,273,4,2020-03-29,0
315,13,2,2020-09-21,0
1369,52,2,2020-12-05,0
91,366,4,2020-09-20,0
1966,34,1,2020-02-19,0
1895,387,2,2020-02-23,0
1129,259,5,2020-07-09,0
401,217,4,2020-06-10,0
201,445,4,2020-09-26,0
1886,303,4,2020-07-08,0
295,212,5,2020-12-03,0
878,52,2,2020-08-04,0
763,187,4,2020-02-10,0
1180,14,5,2020-03-05,0
1880,326,1,2020-12-09,0
1152,491,3,2020-03-21,0
391,162,3,2020-10-15,0
378,260,2,2020-08-18,0
1017,40,4,2020-05-14,0
200,327,4,2020-02-02,0
1071,406,5,2020-04-08,0
683,359,3,2020-02-04,0
960,226,5,2020-05-10,0
1792,4,2,2020-09-11,0
397,358,3,2020-07-25,0
1038,345,2,2020-06-27,0
1598,351,1,2020-02-21,0
1020,95,4,2020-08-09,0
484,406,5,2020-05-22,0
1194,28,4,2020-01-13,0
1183,326,3,2020-08-30,0
1109,283,2,2020-06-18,0
556,61,1,2020-05-13,0
795,27,4,2020-02-13,0
1363,285,3,2020-05-07,0
1529,347,1,2020-08-18,0
189,224,1,2020-10-09,0
1981,120,4,2020-08-20,0
1282,358,3,2020-05-16,0
317,164,1,2020-11-02,0
1257,171,3,2020-06-08,0
1631,471,1,2020-06-28,0
1136,317,1,2020-02-21,0
1291,294,2,2020-04-22,0
1636,112,1,2020-07-05,0
112,1,2,2020-08-07,0
1589,342,5,2020-08-11,0
1248,384,3,2020-05-05,0
1153,52,4,2020-08-05,0
1695,197,4,2020-07-21,0
1207,122,1,2020-09-11,0
293,279,5,2020-04-07,0
197,469,3,2020-08-27,0
143,96,1,2020-05-03,0
186,325,5,2020-09-15,0
659,251,3,2020-12-11,0
1986,146,4,2020-12-17,0
1734,307,1,2020-05-07,0
550,337,1,2020-09-23,0
1976,472,2,2020-05-30,0
1438,477,2,2020-04-08,0
262,251,2,2020-04-21,0
1016,499,4,2020-01-02,0
896,303,4,2020-02-06,0
1183,8,1,2020-04-08,0
1682,303,3,2020-05-31,0
53,119,1,2020-04-25,0
586,112,4,2020-04-13,0
1875,253,3,2020-04-21,0
509,472,3,2020-06-01,0
1884,401,2,2020-07-12,0
821,162,5,2020-06-17,0
160,67,1,2020-10-03,0
815,403,3,2020-05-07,0
1056,175,4,2020-01-22,0
